031	bild31.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild31.jpg	A deep bond also with animals
032	bild32.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild32.jpg	Bruno Gröning was very interested to receive communications from people who had been healed
033	bild33.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild33.jpg	Bruno Gröning: Bruno Gröning's grave in Dillenburg
034	bild34.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild34.jpg	Bruno Gröning: Bruno Gröning's grave in Dillenburg
035	bild35.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild35.jpg	Bruno Gröning: ‘We all live in a certain world order. Its highest law is God. When we leave this order, we lose our foundation. Our health suffers, we become sick. Only when we create order within ourselves again can we return to health.’
036	bild36.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild36.jpg	Bruno Gröning: ‘Man should let go of all unnatural things and completely submit himself to the natural, of which he is a part.’
037	bild37.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild37.jpg	Bruno Gröning
038	bild38.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild38.jpg	Bruno Gröning: ‘He who hasn't yet experienced this- life -as the holy of holies is a pitiable creature.’
039	bild39.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild39.jpg	Bruno Gröning: ‘I have come for all people, regardless of nationality or religion.’
040	bild40.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild40.jpg	Bruno Gröning: ‘I am stronger than evil!’
041	bild41.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild41.jpg	Bruno Gröning: ‘God will help if a person believes, if he has the good, divine will that he is meant to live with, and if he doesn't lose faith in God, God helps him - just believe!’
042	bild42.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild42.jpg	Bruno Gröning: ‘I will go on helping! Today I know very definitely that I can really help the helpless, and I will also do so. I regard it as my duty and obligation to help my neighbors out of pure love.’
043	bild43.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild43.jpg	Bruno Gröning: ‘I consider it my duty and obligation to tell each of my neighbors what is required for his earthly life.’
044	bild44.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild44.jpg	Bruno Gröning: ‘I have no opinion; I only have a conviction.’
045	bild45.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild45.jpg	Bruno Gröning: ‘I consider it my duty and obligation to tell you only that which really leads you to God. And that you have to live here in the divine order and to keep striving to do everything to stay on this path, and that you can never be attacked by the bad, by evil, if you are determined to continue on the path that truly leads you to the good, really leads you to your salvation.’ 
046	bild46.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild46.jpg	Bruno Gröning: ‘It is necessary for man to absorb the divine into himself. It is necessary for the divine already in him to prevail. That is how God intended it for him, for all people.’
047	bild47.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild47.jpg	Bruno Gröning: ‘I have helped many people - thanks to God!’
048	bild48.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild48.jpg	Bruno Gröning: ‘Later it will come about that all nations will be included. That's what is important to me.’
049	bild49.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild49.jpg	Bruno Gröning: ‘There always has to be peace and quiet, then I can work. Where everything is chaotic there can be no blessing. The power works best where love and peace at heart prevail.’
050	bild50.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild50.jpg	Bruno Gröning: ‘I will give back to you the ancient, the true human instinct. Then we will have everything. Then we will have peace on this earth regardless of religion, regardless of nation. That is God's blessing!’
051	bild51.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild51.jpg	Bruno Gröning: ‘Without our God we humans are nothing, we are nothing at all. We cannot imagine God away. All of us are and will remain Children of God. The only Father we have is and will remain our Lord God.’
052	bild52.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild52.jpg	Bruno Gröning: ‘Pay more attention to your body every day, every hour, every minute, every second!’
053	bild53.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild53.jpg	Bruno Gröning: ‘I also still maintain the divine calm, the divine patience. But I also want that from every friend, so that he doesn't lose it. But first he has to absorb it.’
054	bild54.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild54.jpg	Bruno Gröning: ‘Every person should know on his own that he is a natural, divine creature and therefore is also subject to the divine law.’
055	bild55.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild55.jpg	Bruno Gröning: ‘The times and the increase in healings are turning me into a ‘great transmitter’. More and more people are receiving the healing wave. I believe that I can claim that everyone has a receiving station for this wave; he only has to know what he wants to receive. Surely there were small healing transmitters earlier, but in my opinion they were of limited power - were undeveloped - and as a result of their weakness were driven away and also broke down. To put it briefly, I would like to say by way of comparison that I have found the receiver in people and am in a position to, so to speak, overhaul the human organism. For people who have been healed by me this is a foregone conclusion, like the radio.’
056	bild56.jpg	https://www.bruno-groening.org/images/bg_fotos/Kapitel_1_Bruno_Groening/Bilder_und_Zitate/gallery/bild56.jpg	Bruno Gröning: ‘My dear Friends, I could tell you here of so many good things, of how people have got back the good, of how people have got back order in their body even though they - these people - had been given up by others.’
